prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
103.83.43.0/24,N/A,AS212609,['AS401783'],Low,"There is no evidence of a direct relationship between AS212609 (Karolio IT paslaugos, UAB) in Lithuania and AS401783 (TOKALA COMMUNICATIONS INC.) in the Philippines; they belong to different organizations and are geographically distant, indicating a low likelihood of a benign conflict.","The origin AS does not match the authorized AS, suggesting a possible misconfiguration or hijack rather than a delegated or upstream relationship.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches']",no relationship
104.145.209.0/24,N/A,AS62240,['AS834'],Medium,"The origin AS62240 and the authorized AS834 are within the same larger /23 block, indicating a possible upstream‑downstream or delegated relationship, but there is no concrete evidence of a same‑organization or confirmed provider‑customer link. Historical prefix transfers and partial ROA coverage suggest a misconfiguration or recent ownership change that has not yet been reflected in the ROA.","The route may be a delegated announcement or ownership transfer from AS834 to its downstream AS62240, not reflected in the current ROA.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",weak relationship
104.164.193.0/24,N/A,AS834,['AS27176'],Medium,"AS834 (IPXO LLC) and AS27176 (DataWagon LLC) are distinct organizations with no clear provider‑customer or sibling relationship, but IRR records list MAINT‑AS834 as a maintainer for the prefix, suggesting a possible delegated or administrative link. The prefix appears in multiple IRR entries for AS27176, indicating a multi‑origin situation with partial ROA coverage. The evidence of a direct organizational tie is weak, leading to a medium assessment of benign likelihood.",Misconfiguration or partial ROA coverage leading to a multi‑origin conflict between AS834 and the authorized AS27176.,"['Others', 'Delegated / Upstream-Downstream Announcements', 'Others (Shared Administrative Responsibilities)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
104.164.85.0/24,N/A,AS211014,['AS396356'],Medium,"The origin AS (AS211014) and the authorized AS (AS396356) are different entities, but evidence such as IRR records indicating an OpenColo LOA, similar US geolocation, and historical announcements by AS396356 suggest a delegated or upstream‑downstream relationship, possibly resulting from a prefix transfer or ownership change. Both ASes are active and visible, and no direct provider‑customer or same‑organization link is confirmed, making the situation appear benign but not definitively linked.",Delegated/upstream-downstream announcement possibly due to a prefix transfer or ownership change.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",same region
104.165.29.0/24,N/A,AS834,['AS27176'],High,"The origin AS834 and the authorized AS27176 are linked through a clear administrative relationship: IRR records list MAINT‑AS834 as the maintainer for the prefix, indicating that AS834 is acting as a provider or delegating the prefix to AS27176. This upstream‑downstream arrangement is a common operational practice among closely related ASes, supporting a benign interpretation.",Delegated/upstream-downstream announcement due to a close administrative relationship between AS834 and AS27176.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
104.252.168.0/24,N/A,AS12083,['AS212238'],Medium,"AS12083 and the authorized AS212238 are both well‑established networks and there are indications of a possible delegated or upstream‑downstream relationship, but no definitive evidence of a shared organization or a clear provider‑customer link; the prefix’s geolocation in Colombia versus AS12083’s US base also suggests potential third‑party involvement.",Delegated/upstream-downstream announcements or third‑party CDN/cloud edge announcements.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential lack of ROA updates reflecting operational changes)', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
104.253.130.0/24,N/A,AS3561,['AS18779'],High,"AS3561 (CenturyLink) and the authorized AS18779 (EGIHosting) show a close operational relationship: historical announcements originated from AS18779, recent visibility includes AS3561, both are located in Santa Clara, US, and likely share infrastructure or a customer‑provider arrangement, indicating the invalid route results from a legitimate prefix transfer or delegated announcement rather than a malicious hijack.",Prefix transfer or delegated announcement due to a business partnership between AS3561 and AS18779.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements']",strong relationship
112.199.64.0/19,N/A,AS24081,['AS9658'],Medium,"Both the announcing AS (AS24081) and the authorized AS (AS9658) are located in the Philippines and belong to the APNIC registry, indicating a regional relationship. The prefix is primarily associated with AS9658, and the announcement by AS24081 likely reflects a delegated or upstream‑downstream arrangement, a pattern common among nearby operators, though no explicit provider‑customer or sibling relationship is documented.",Delegated or upstream-downstream announcement between the ASes.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Geographical Proximity (same country)', 'Multi-Origin with Partial ROA Coverage']",same region
112.199.94.0/23,N/A,AS24081,['AS9658'],High,"Both AS24081 and the authorized AS9658 are registered in the Philippines (APNIC region) and operate in the same geographic area, indicating a likely business relationship such as customer‑provider or sibling. The announced /23 is a more specific prefix within a larger block historically announced by AS9658, which is typical of downstream or delegated announcements, and there is no evidence of malicious intent.","Delegated upstream‑downstream announcement, possibly reflecting a prefix transfer.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
112.199.94.0/24,N/A,AS24081,['AS9658'],High,"Both AS24081 and AS9658 are registered in the Philippines and belong to the APNIC region. AS9658 historically announces the broader prefix space, while AS24081 now announces the more specific /24, indicating a likely provider‑customer or sibling relationship and a possible recent prefix transfer. This geographic and business proximity, together with the delegated upstream‑downstream announcement pattern, points to a benign configuration conflict rather than a malicious hijack.",Provider‑customer relationship causing a delegated upstream‑downstream announcement.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
115.117.0.0/16,N/A,AS17762,"['AS4755', 'AS10199']",High,"AS17762 (Tata Teleservices Maharashtra Ltd) is a customer of AS4755 (TATA Communications) and both AS4755 and AS10199 belong to the Tata Communications group, indicating a strong organizational and provider‑customer relationship within the same country (India). The recent announcement by AS10199 suggests internal routing changes or delegated upstream announcements, making the RPKI‑invalid status likely the result of a misconfiguration or incomplete ROA update rather than a malicious hijack.",Misconfiguration due to delegated or upstream‑downstream announcements within the Tata group.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",same organization
115.117.192.0/18,N/A,AS17762,['AS10199'],High,"AS17762 and AS10199 are both owned by Tata Communications, indicating a strong organizational relationship; the prefix has historically been announced by AS10199, and the current announcement likely reflects delegated or upstream‑downstream routing within the same company, possibly for traffic engineering, with no evidence of malicious intent.",Delegated / Upstream-Downstream Announcements (intra-organizational routing).,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",same organization
115.117.224.0/24,N/A,AS17762,"['AS4755', 'AS10199']",High,"The origin AS (AS17762) and the authorized ASes (AS4755, AS10199) are all part of the Tata Group, indicating a strong organizational relationship; the /24 is a more specific of larger prefixes announced by the authorized ASes, has been consistently advertised since 2018, and shows no evidence of malicious intent, suggesting the RPKI invalidation is due to internal routing or ROA configuration.",Internal routing or ROA misconfiguration within the Tata group.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",same organization
115.84.122.0/24,N/A,AS19905,['AS9873'],High,"The origin AS (AS19905) and the authorized AS (AS9873) are both operated by Lao Telecommunication Co Ltd, showing a strong organizational relationship; the prefix is announced by both ASes, likely due to an internal reconfiguration or recent ownership transfer, and its geolocation in Laos further supports a benign internal conflict.",Misconfiguration or internal reconfiguration within Lao Telecommunication leading to a multi‑origin announcement that conflicts with the ROA.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",same organization
117.121.224.0/20,N/A,AS136908,['AS4613'],High,"Both AS136908 (Sky Broadband Pvt. Ltd) and AS4613 (MOS‑NP Mercantile Office Systems) are registered in Nepal, indicating a close regional and operational relationship. The prefix has historically been announced by AS4613, while a more specific /24 is now originated by AS136908, suggesting a provider‑customer or sibling arrangement or a recent ownership transfer. This pattern of delegated upstream‑downstream announcements and partial ROA coverage points to a likely benign misconfiguration between related ASes.","Likely a misconfiguration or operational change between closely related ASes (e.g., provider‑customer or sibling relationship) causing the origin AS to announce space not covered by the ROA.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
117.121.238.0/24,N/A,AS136908,['AS4613'],High,"The origin AS136908 and the authorized AS4613 are both registered in Nepal and the /24 prefix is a more specific of the /20 prefix historically announced by AS4613, indicating a legitimate delegation or transfer. This suggests a close business relationship, likely provider‑customer or subsidiary, which explains the RPKI‑invalid announcement as a benign conflict.",Delegated/upstream-downstream announcement due to a prefix transfer or ownership change.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
124.105.0.0/16,N/A,AS23689,['AS9299'],High,"Both AS23689 and the authorized AS9299 are registered in the Philippines and announce overlapping prefixes, with AS23689 announcing a more specific /23 within the /16. This geographic proximity and the upstream‑downstream delegation pattern suggest a provider‑customer or similar strong business relationship, and no conflicting routing information is observed.",Delegated/upstream-downstream announcement (possible provider‑customer relationship).,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",strong relationship
124.105.128.0/19,N/A,AS23689,['AS9299'],High,"AS23689 appears to be a downstream customer of AS9299; both operate in the Philippines and AS9299 holds the ROA for the prefix. AS23689 announces a more specific prefix within AS9299’s larger block, a common delegated upstream‑downstream practice, indicating a strong operational relationship rather than a malicious hijack.",Delegated upstream‑downstream announcement where a downstream AS announces a more specific prefix of its provider.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
124.105.146.0/23,N/A,AS23689,['AS9299'],High,"AS23689 is a customer of AS9299, both operating in the Philippines, and the more specific /23 prefix is announced by the customer under the provider's larger allocation, a common delegated upstream‑downstream practice for traffic engineering or internal routing.",Delegated/upstream‑downstream announcement by a customer AS of its provider's address space.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
130.254.45.0/24,N/A,AS174,['AS402186'],Medium,"The origin AS174 (Cogent Communications) and the authorized AS402186 (SeroWeb LLC) belong to different organizations; there is no direct evidence of a provider‑customer or sibling relationship, though both operate in the United States, suggesting regional proximity. The mismatch may stem from an administrative oversight such as a recent prefix transfer or an upstream‑downstream delegation that has not yet been reflected in the ROA, rather than a malicious hijack.",Possible prefix transfer or upstream‑downstream delegation.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",same region
131.196.16.0/22,N/A,AS265899,['AS61587'],Medium,"The origin AS 265899 announces the prefix that is authorized for AS 61587. IRR data and the fact that both ASes operate in Brazil suggest a possible upstream‑downstream or proxy arrangement, but there is no publicly documented provider‑customer or sibling relationship, and AS265899 is visible on only a few RIS peers. Consequently the conflict likely stems from a misconfiguration such as a delegated announcement or a recent ownership transfer rather than a malicious hijack.",The conflict likely results from a delegated/upstream‑downstream announcement or a recent prefix ownership transfer.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same region
131.196.16.0/23,N/A,AS265899,['AS61587'],Medium,"AS265899 announces the more specific /23 prefix while the authorized AS61587 announces the broader /22 block; both ASes are registered in Brazil and share the same LACNIC allocation. The situation suggests a possible upstream‑downstream or delegated arrangement, but there is no concrete evidence of a direct provider‑customer, sibling, or same‑organization relationship, leading to a medium confidence in benignity.","The conflict likely arises from a delegated upstream‑downstream arrangement or recent prefix ownership transfer, where AS265899 announces a more specific prefix of AS61587.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same region
131.196.17.0/24,N/A,AS265899,['AS61587'],Medium,"AS265899 announces the more specific 131.196.17.0/24 within the larger block owned by AS61587, and both ASes are located in Brazil. The relationship appears to be a delegated or upstream‑downstream arrangement, leading to a partial ROA coverage for the specific prefix. No direct evidence of a provider‑customer, sibling, or same‑organization link is present, suggesting the invalid route is likely due to a configuration oversight rather than a malicious hijack.",Delegated/upstream-downstream relationship causing partial ROA coverage for the more specific prefix.,"['Delegated / Upstream-Downstream Announcements', 'Others', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same region
131.196.18.0/23,N/A,AS265899,['AS61587'],Medium,"The authorized AS (AS61587) holds a valid ROA for the broader prefix, while the origin AS (AS265899) announces a more specific /23, likely as a downstream or delegated entity. Both ASes operate in Brazil, suggesting a regional relationship, but there is no concrete evidence of a direct provider‑customer, sibling, or organizational tie, indicating the conflict is probably due to a configuration issue rather than a malicious hijack.",Delegated upstream-downstream announcement leading to a misconfiguration,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",same region
131.196.19.0/24,N/A,AS265899,['AS61587'],Medium,"The origin AS265899 announces a /24 that is a more specific of the /22 prefix authorized for AS61587. Both ASes are registered in Brazil under LACNIC, indicating geographic proximity, but there is no concrete evidence of a direct provider‑customer, sibling, or organizational relationship. Historical announcements by AS265899 and the presence of delegated/upstream‑downstream patterns suggest a likely operator misconfiguration rather than a malicious hijack.",Operator misconfiguration due to delegated upstream‑downstream announcements or partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",same region
138.118.108.0/22,N/A,AS263124,['AS264257'],High,"The origin AS263124 and the authorized AS264257 are both Brazilian operators registered with LACNIC; IRR records indicate that AS264257 is the primary holder of the prefix while AS263124 announces it as a proxy for its customer, suggesting a provider‑customer or sibling relationship. The prefix has been consistently routed for a long period without any indication of malicious intent, supporting a benign interpretation.",Delegated/upstream‑downstream announcement causing an ROA mismatch.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
138.118.110.0/24,N/A,AS263124,['AS264257'],High,"Both AS263124 and AS264257 are Brazilian ISPs operating in the same region, and IRR records indicate a proxy or customer relationship, suggesting a provider‑customer or sibling link. The announced /24 is a more specific prefix of the ROA‑covered block and has historically been announced by AS264257, implying a delegated upstream‑downstream announcement rather than a malicious hijack.",Delegated/upstream‑downstream announcement with a mis‑aligned ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
138.118.111.0/24,N/A,AS263124,['AS264257'],High,"Both AS263124 and AS264257 are registered in Brazil under LACNIC and operate in the same geographic region. AS263124 announces a more specific /24 of the /22 prefix that is authorized to AS264257, indicating a delegated or upstream‑downstream relationship, likely a customer‑provider or sibling arrangement. IRR records show similar route descriptions, supporting the notion of internal coordination rather than a malicious hijack.","Delegated upstream‑downstream announcement where AS263124 announces on behalf of AS264257, likely due to a customer‑provider relationship.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
14.238.0.0/16,N/A,AS139341,AS45899,High,"The high benign likelihood level is assigned due to the strong evidence of a benign relationship between the origin AS (AS139341) and the authorized AS (AS45899) in the ROA. The RIPEstat data of the announced prefix shows that it is heavily utilized by VNPT-Net, which is associated with AS45899. Additionally, the RIPEstat data of AS139341 indicates that it is a relatively small AS with limited visibility, which might suggest a specific, possibly benign, relationship with AS45899.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change']",
14.238.128.0/20,N/A,AS139341,['AS45899'],Medium,"AS139341 announces a /20 that is a subset of a larger block owned by AS45899. Both ASes are APNIC‑registered and operate in the Asia‑Pacific region, with AS45899 being a major Vietnamese telecom provider and AS139341 belonging to ACE. No explicit provider‑customer, sibling, or same‑organization relationship is documented, but the pattern is consistent with a delegated or upstream‑downstream arrangement, possibly reflecting an operational change or outdated ROA information.","Delegated/upstream‑downstream announcement, possibly reflecting an outdated ROA.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",same region
14.238.130.0/23,N/A,AS139341,['AS45899'],High,"AS139341 is a smaller Vietnamese ISP that announces a more specific /23 within the larger block owned by AS45899, a major Vietnamese telecom (VNPT). The prefix is consistently announced by AS45899 and the delegated upstream‑downstream relationship explains the ROA mismatch, indicating a provider‑customer or sibling relationship rather than a malicious hijack.",Provider‑Customer delegated announcement,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Operational or Organizational Connection not explicitly documented)']",strong relationship
14.238.131.0/24,N/A,AS139341,['AS45899'],High,"AS139341 announces the /24 prefix as a more specific of a larger block owned by the authorized AS45899. Both ASes are APNIC‑assigned and operate in Vietnam, indicating geographic proximity. Historical data shows consistent announcements by AS139341 since December 2024, and the pattern matches a delegated or upstream‑downstream arrangement, likely a provider‑customer or sibling relationship, rather than a malicious hijack.",Provider‑Customer or delegated upstream‑downstream relationship,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
140.99.208.0/24,N/A,AS834,"['AS149573', 'AS209737']",Medium,"The origin AS834 is not the same organization as the authorized ASes AS149573 or AS209737, and there is no explicit provider‑customer or sibling relationship. However, both AS834 and AS149573 share the same geographic region (India, Mumbai) and the IRR record for AS149573 references a maintainer owned by AS834, indicating an administrative or delegated relationship. The prefix is also listed as held by AS149573 in RIPEstat and appears in multiple IRR entries, suggesting a multi‑origin setup with partial ROA coverage.",Delegated/upstream‑downstream announcement leading to partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Administrative Cooperation)', 'Multi-Origin with Partial ROA Coverage']",same region
140.99.47.0/24,N/A,AS214024,"['AS834', 'AS209737']",Medium,"AS214024 announces the prefix but is not listed in the ROAs, which authorize AS834 and AS209737. The prefix has a documented history of ownership transfers, suggesting the ROA may be outdated due to administrative changes. No direct organizational or provider‑customer relationship is evident between the origin and authorized ASes, though both AS214024 and AS209737 are registered with the RIPE NCC and the prefix resides in the US, matching AS834's presence. The lack of malicious indicators and the transfer history point to a likely benign misconfiguration rather than an intentional hijack.",Prefix transfer or ownership change leading to outdated ROA information.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",same region
141.11.139.0/24,N/A,AS51847,['AS212336'],Medium,"Both AS51847 and the authorized AS212336 are located in Japan and have small address spaces assigned by the RIPE NCC, but there is no evidence of a direct provider‑customer, sibling, or same‑organization relationship. The prefix has historically been announced by AS212336, suggesting that the current announcement by AS51847 may stem from a recent ownership change or a configuration error, possibly compounded by outdated ROA information. Consequently, the relationship appears limited to regional proximity rather than a strong operational tie.",Possible misconfiguration due to a recent prefix transfer or outdated ROA information.,"['Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional/Cooperative Misconfiguration)', 'Prefix Transfer / Ownership Change']",same region
141.11.180.0/24,N/A,AS9304,"['AS198831', 'AS212133']",Medium,"The origin AS9304 is a large telecommunications provider, while the authorized ASes (AS198831 and AS212133) are smaller entities. The prefix is located in France, and all ASes have a presence in Europe, indicating geographic proximity. No explicit provider‑customer or organizational link is documented, but the situation aligns with delegated or upstream‑downstream announcements, and IRR records show multiple origins. No malicious hijacking patterns are observed.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (unspecified relationship not directly inferred from data)', 'Multi-Origin with Partial ROA Coverage']",same region
141.11.39.0/24,N/A,AS9304,['AS16276'],Low,"The origin AS9304 (HGC Global Communications in Hong Kong) announces the prefix, while the ROA authorizes AS16276 (OVH SAS in France). There is no known customer‑provider, sibling, or other operational relationship between these organizations, and they are located in different regions. Although large global providers sometimes use delegated or traffic‑engineering announcements, no evidence of such a relationship exists for this prefix, making the mismatch likely unintended rather than a coordinated benign practice.",Delegated/upstream-downstream announcement or traffic engineering deaggregation mismatch.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches']",no relationship
141.11.5.0/24,N/A,AS834,['AS215114'],Medium,"AS834 and the authorized AS215114 appear to be related through a possible prefix transfer or delegated upstream‑downstream arrangement; both operate in France and share administrative attributes, suggesting a past or delegated relationship, but there is no direct evidence of a same‑organization or explicit provider‑customer link.",Likely due to a prefix transfer or delegated announcement resulting from an ownership or administrative change not reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements']",same region
142.252.184.0/24,N/A,AS834,['AS27176'],High,"Both AS834 and AS27176 operate in the US and the IRR records for the prefix show a 'mnt-by' attribute referencing MAINT-AS834, indicating a direct administrative link between the two ASes. This suggests a provider‑customer, sibling, or otherwise strong partnership, making the origin conflict more likely to be a benign configuration issue rather than a malicious hijack.",The conflict likely results from delegated/upstream-downstream announcements and multi‑origin usage due to a recent prefix transfer or ownership change not reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
