prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,aggregation_confidence,model_agreement_summary
142.214.144.0/22,N/A,AS8100,['AS396246'],Low,"The origin AS8100 (QuadraNet Enterprises LLC) and the authorized AS396246 (WHITEFIBER HPC) show no documented customer‑provider, sibling, or organizational relationship. Although both ASes are registered in the United States, there is no evidence of shared infrastructure or operational overlap, and the observed factors (hijack indicators, delegated/upstream‑downstream announcements, multi‑origin with partial ROA coverage, and possible prefix transfer) point toward a misconfiguration or malicious hijack rather than a benign arrangement.","Likely a hijack or misconfiguration, possibly arising from delegated/upstream‑downstream announcements or incomplete ROA coverage.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",,
148.243.130.0/24,N/A,AS11172,['AS6503'],High,"The origin AS11172 and the authorized AS6503 are Mexican ISPs (Alestra and Axtel) with a long‑standing relationship; RIPEstat and IRR data show that AS11172 maintains route objects for AS6503 and announces more specific prefixes of AS6503’s allocation, indicating a provider‑customer or sibling arrangement. Their co‑location in Mexico and shared maintenance records further support that the RPKI‑invalid announcement is likely a benign configuration conflict rather than a malicious hijack.",Delegated/upstream‑downstream announcement with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
148.243.71.0/24,N/A,AS22908,"['AS22011', 'AS6503']",High,"AS22908 and AS22011 are both registered to Sixsigma Networks Mexico, indicating a strong organizational relationship; the prefix has previously been announced by AS22011, showing a historical link, and both ASes operate in Mexico, providing geographic proximity. These factors suggest the invalid route is likely due to internal routing or misconfiguration rather than a malicious hijack.",Intra-organizational routing misconfiguration with multi-origin partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
154.16.94.0/24,N/A,AS209242,['AS834'],Medium,"The origin AS209242 and the authorized AS834 are both active and globally announced, but there is no direct evidence of a close organizational or customer‑provider relationship. The conflict likely stems from operational practices such as third‑party CDN/DDoS mitigation or delegated upstream/downstream announcements, resulting in partial ROA coverage. Given the lack of detailed relationship data, the situation is assessed as a possible benign conflict with medium confidence.",Third‑party or delegated announcement resulting in partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",,
154.218.2.11/32,N/A,AS133448,"['AS17561', 'AS138995']",High,"RIPEstat and IRR records show that AS133448 is a customer of the upstream holder of the prefix, announcing a sub‑prefix of the /23 owned by its provider, while AS138995 holds a more specific /24. The shared APAC region and documented customer‑provider relationship indicate the invalid route stems from a delegated upstream‑downstream announcement rather than a malicious hijack.","Delegated/upstream‑downstream announcements, potentially with partial ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",,
154.218.5.251/32,N/A,AS133448,['AS138995'],Medium,"AS133448 announces a /32 more specific than the /24 prefix authorized to AS138995, resulting in an RPKI-invalid route. While no AS path information is available, both ASes are registered in the APAC region and a delegated upstream‑downstream relationship is plausible, though not confirmed. The lack of direct organizational ties and the presence of a deaggregation mismatch suggest a configuration issue rather than a malicious hijack, leading to a medium confidence of a benign conflict.",Delegated upstream-downstream announcement causing a deaggregation mismatch.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration)', 'Deaggregate Mismatches']",,
154.85.111.0/24,N/A,AS5065,"['AS17561', 'AS22773']",High,"The origin AS5065 and the authorized AS22773 are both associated with Cox Communications (and related entities such as Bunny Technology), indicating a strong organizational link. This relationship, together with evidence of delegated/upstream‑downstream announcements and multi‑origin usage, points to a benign configuration issue rather than a malicious hijack.",Delegated / Upstream-Downstream Announcements causing a benign conflict.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",,
156.234.127.0/24,N/A,AS40065,"['AS64013', 'AS138195', 'AS138415']",Medium,"The origin AS40065 is not listed in the ROAs, while the authorized ASes AS64013, AS138195, and AS138415 are associated with YANCY LIMITED and operate in Hong Kong. This suggests possible business or historical ties such as delegated upstream/downstream arrangements or a recent prefix transfer, but no direct provider‑customer, sibling, or same‑organization relationship is evident, leading to a Medium benign assessment.","Delegated/upstream‑downstream announcements, prefix transfer/ownership change, or multi‑origin with partial ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
156.234.142.0/24,N/A,AS45382,"['AS64013', 'AS138195', 'AS138415']",Medium,"The origin AS45382 is not directly linked to the authorized ASes (AS64013, AS138195, AS138415) through clear organizational or provider‑customer relationships, but all ASes are APNIC‑assigned and located in Hong Kong, suggesting regional proximity. Historical prefix transfers and delegated upstream‑downstream announcements are plausible explanations, and the presence of multiple origins with partial ROA coverage indicates a configuration issue rather than a malicious hijack.",Delegated/upstream-downstream announcements possibly resulting from a historical prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Indirect Operational Relationship)', 'Prefix Transfer / Ownership Change']",,
156.235.51.0/24,N/A,AS5065,['AS17561'],Medium,"IRR records show AS5065 associated with the prefix, indicating a possible multi‑origin or delegated upstream/downstream arrangement with the ROA‑authorized AS17561. No direct provider‑customer or sibling relationship is evident, suggesting the invalid route may stem from a misconfiguration, past ownership change, or incomplete RPKI updates rather than a deliberate hijack.","Multi-origin announcement with partial ROA coverage, likely due to delegated upstream/downstream relationship or misconfiguration.","['Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Others (Potential Past Relationship not fully reflected in current RPKI/Registry data)']",,
156.235.53.0/24,N/A,AS212238,['AS17561'],Medium,"The origin AS212238 and the authorized AS17561 are not known to belong to the same organization or have a direct provider‑customer or sibling relationship. Both ASes reference similar maintainer objects (e.g., LARUS) and announce overlapping address space, suggesting a possible operational or shared‑infrastructure link, but no explicit relationship is confirmed. This circumstantial evidence points to a potential benign conflict, though the lack of definitive ties keeps the assessment at a medium confidence level.",Possible shared infrastructure or delegated upstream/downstream announcement leading to a multi‑origin conflict.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Others (Potential Shared Infrastructure or Operational Link)', 'Multi-Origin with Partial ROA Coverage']",,
156.240.60.0/24,N/A,AS134428,['AS26617'],Medium,"AS134428 is announcing a /24 that falls within a larger /23 block authorized to AS26617. No direct provider‑customer, sibling, or organizational link is evident between the two ASes. The mismatch is likely due to a delegated or upstream‑downstream arrangement, possibly involving a third‑party service such as a CDN or cloud edge, or a multi‑origin situation where ROA data has not been updated. These factors suggest a configuration issue rather than a malicious hijack, but the relationship is not strongly substantiated.","Delegated or third‑party (e.g., CDN/upstream) announcement without updated ROA information.","['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential indirect collaboration without public ROA updates)', 'Multi-Origin with Partial ROA Coverage']",,
156.240.61.0/24,N/A,AS134428,['AS26617'],Medium,"The origin AS (AS134428) and the authorized AS (AS26617) are not directly linked by a known provider‑customer, sibling, or same‑organization relationship, and they belong to different organizations. However, both ASes have announced prefixes within the broader 156.240.0.0/16 block, and the prefix has previously been announced by AS26617, suggesting a possible delegated or upstream‑downstream arrangement or multi‑origin usage that can lead to ROA mismatches without malicious intent.",Delegated/upstream‑downstream or multi‑origin announcement causing ROA mismatch,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential Regional Partnership/Oversight in ROA Management)', 'Multi-Origin with Partial ROA Coverage']",,
156.241.3.0/24,N/A,AS328608,['AS152179'],Medium,"The origin AS328608 announces the prefix that is authorized to AS152179. No direct customer‑provider, sibling, or organizational link is evident between the two ASes. Both operate globally (AS328608 as an African cloud provider and AS152179 as a global communications network) and are present in APNIC/AFRINIC registries, which allows for possible delegated or upstream‑downstream arrangements typical of cloud or CDN services. However, the lack of explicit relationship data or policy confirmation means the evidence remains circumstantial.",Likely a delegated or upstream‑downstream announcement by a third‑party cloud/CDN provider.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)']",,
156.246.103.0/24,N/A,AS5065,['AS17561'],Medium,"The origin AS (AS5065) and the authorized AS (AS17561) both announce the prefix, indicating a possible operational relationship such as delegated upstream/downstream announcements or historical partnership, but there is no direct evidence of a provider‑customer, sibling, or same‑organization link, leading to a medium benign assessment.",Delegated/upstream-downstream announcement leading to multi‑origin with partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Shared Operational Resources (e.g., due to partnerships or historical ownership ties)', 'Multi-Origin with Partial ROA Coverage']",,
156.246.98.0/24,N/A,AS5065,['AS17561'],Medium,"The route is RPKI-invalid because AS5065 announces the prefix while the ROA authorizes AS17561. Both ASes have announced nearby prefixes and the mismatch may stem from a recent resource transfer or an outdated ROA, indicating a possible benign conflict rather than a clear hijack. No direct provider‑customer, sibling, or organizational link is evident, and the lack of detailed AS relationship data prevents a stronger confidence level.",Resource transfer or ownership change resulting in an outdated ROA,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Undocumented Relationship or Misconfiguration)', 'Traffic Engineering / Deaggregate Mismatches']",,
