prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
103.121.120.0/24,N/A,AS9541,['AS131275'],High,"Both AS9541 and AS131275 are APNIC‑assigned entities operating in Pakistan, with AS131275 being a smaller network that is likely a customer or sibling of the larger provider AS9541. Their shared geographic location, similar private‑limited company structures, and the absence of any transfer history or routing anomalies suggest the invalid announcement stems from a misconfiguration in the ROA rather than a malicious hijack.","Delegated/upstream-downstream announcements, likely reflecting a customer‑provider relationship.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",strong relationship
103.121.121.0/24,N/A,AS9541,['AS131275'],Medium,"The origin AS9541 (Cyber Internet Services Pvt Ltd.) and the authorized AS131275 (Logon Broadband Pvt. Limited) are both Pakistani ISPs operating in the same country and region. The prefix has been announced by the authorized AS since 2018 with no transfer history, while the origin AS is announcing it, likely due to a misconfigured ROA that does not include the upstream provider. This pattern suggests a delegated or upstream‑downstream relationship rather than a malicious hijack, though no direct evidence of a formal agreement is available.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",same region
103.123.164.0/22,N/A,AS9790,['AS45177'],Medium,"The origin AS (AS9790) and the authorized AS (AS45177) are both registered in New Zealand, indicating a regional proximity. Historically the prefix has been announced by AS45177, and the recent announcement by AS9790 could stem from an upstream/downstream relationship or a configuration mistake. No public records confirm a direct provider‑customer, sibling, or same‑organization link, so the evidence points to a likely benign misconfiguration rather than a malicious hijack.",Configuration error or upstream/downstream announcement misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration between closely related ASes)', 'Prefix Transfer / Ownership Change']",same region
103.204.72.0/22,N/A,AS4837,"['AS59033', 'AS63689', 'AS132168']",High,"The origin AS AS4837 (China Unicom) and the authorized ASes AS59033, AS63689, and AS132168 are all operated in China and have documented business ties—AS59033 and AS63689 belong to Esun Technology Shanghai, AS132168 is an international affiliate and a customer of HGC—indicating a strong provider‑customer or sibling relationship. This close operational and regional linkage, together with multiple related origins appearing in the ROA, suggests the invalid route results from delegated or upstream‑downstream announcements and a multi‑origin configuration with incomplete ROA coverage rather than a malicious hijack.",Delegated/upstream-downstream announcements or multi-origin setup with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
103.217.253.0/24,N/A,AS35913,['AS206264'],Medium,"The origin AS AS35913 is not listed in the ROA, and there is no clear provider‑customer, sibling, or same‑organization relationship with the authorized AS AS206264. However, AS206264 has historically announced the prefix and the recent change could reflect a prefix transfer, upstream/downstream delegation, or traffic‑engineering deaggregation, indicating a possible benign conflict despite the lack of strong evidence.",Possible prefix transfer or upstream/downstream delegation,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Others (Potential Indirect Past Relationship)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
103.242.13.0/24,N/A,AS133073,"['AS40779', 'AS137283', 'AS137899', 'AS142032', 'AS401696', 'AS401701']",High,"The origin AS (AS133073) and all authorized ASes in the ROAs are registered to HONGKONG CLOUD NETWORK TECHNOLOGY CO., LIMITED or its affiliates, indicating a same‑organization relationship. A recent transfer of the prefix from Dragon Network International to the same company suggests an ownership change, and the mismatch likely stems from a temporary ROA misconfiguration during this transition rather than a malicious hijack.",Prefix transfer or ownership change leading to ROA misconfiguration.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Updates)']",same organization
103.25.141.0/24,N/A,AS134783,['AS139898'],High,"The origin AS (AS134783) and the authorized AS (AS139898) have a strong historical and operational relationship: the /22 prefix was transferred from Amalgamated Telecom Holdings Kiribati Ltd (AS134783) to Digitec Communications Limited (AS139898) in 2013, and both operate in the Pacific region. This suggests the invalid announcement is likely due to a recent operational change or misconfiguration rather than a malicious hijack.",Prefix transfer or ownership change resulting in a misconfiguration.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
103.9.23.0/24,N/A,AS9541,['AS58617'],High,"Both the origin AS (AS9541) and the authorized AS (AS58617) are registered in Pakistan, and IRR records indicate an upstream/downstream relationship via PTCL and EMIX, suggesting a close operational or provider‑customer tie rather than a malicious hijack.",Delegated/upstream-downstream announcements with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
104.234.248.0/24,N/A,AS393678,['AS5065'],Medium,"There is no direct evidence of a provider‑customer, sibling, or ownership relationship between AS393678 and the authorized AS5065; however, both ASes are registered in the United States, indicating regional proximity. The prefix has been announced by both ASes at different times, suggesting a possible misconfiguration or legacy multi‑origin situation rather than a clear hijack.",Misconfiguration resulting in a multi‑origin announcement with partial ROA coverage.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Merger/Acquisition Complexity not fully updated in routing infrastructure)', 'Prefix Transfer / Ownership Change']",same region
104.234.249.0/24,N/A,AS393678,['AS5065'],Medium,"There is circumstantial evidence of a benign relationship due to multi‑origin announcements, a possible recent prefix ownership transfer, and both ASes being US‑based with visible announcements in similar regions (e.g., Los Angeles), but no direct provider‑customer, sibling, or organizational link is confirmed.",Possible misconfiguration related to a recent prefix ownership transfer and multi‑origin announcements.,"['Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Potential Operational Oversight or Incomplete ROA Updates)']",same region
104.247.155.0/24,N/A,AS60721,"['AS834', 'AS21769']",Medium,"The announced prefix 104.247.155.0/24 is originated by AS60721, while ROAs authorize AS834 (and AS21769 for the encompassing block). AS60721 has been announcing the prefix since December 2022, but there is no documented provider‑customer or sibling relationship with the authorized ASes. The larger /21 block has been transferred to Colocation America (AS21769), and AS834 holds a ROA for a more specific /23 within the same range, indicating a possible recent delegation or configuration change. This lack of direct affiliation combined with the complex multi‑origin situation suggests a circumstantial misconfiguration rather than a clear hijack.",Potential misconfiguration due to recent prefix transfer or ownership change.,"['Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change']",weak relationship
104.251.176.0/22,N/A,AS13741,['AS834'],Medium,"The origin AS (AS13741) and the authorized AS (AS834) belong to different organizations with no known provider‑customer or sibling relationship, indicating no strong operational link. However, both ASes are registered in the United States, suggesting a regional proximity that could explain a delegated or upstream/downstream announcement or a simple configuration error. The lack of direct relationship data and the presence of multiple possible operational factors point to a likely benign misconfiguration rather than a deliberate hijack.",Likely an operational misconfiguration or delegated upstream/downstream announcement that has not been reflected in the ROA.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential delayed ROA update after a legitimate transfer or configuration change)', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",same region
108.165.58.0/24,N/A,AS205320,['AS397373'],Low,"There is no documented organizational, customer‑provider, or sibling relationship between AS205320 and the authorized AS397373. The only noted similarity is that both operate in the IT sector, which is insufficient to infer a legitimate delegation. Consequently, the announcement is most likely an unauthorized hijack rather than a benign conflict.",Unauthorized announcement likely representing a hijack (multi‑origin with partial ROA coverage),"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",no relationship
108.165.89.0/24,N/A,AS60721,['AS8881'],Low,"The origin AS (AS60721) and the authorized AS (AS8881) have no apparent economic, policy, or geographic relationship; they are based in Turkey and Germany respectively, with no shared organization, provider‑customer link, or infrastructure, and no evidence of a recent prefix transfer or agreement, indicating a low likelihood of a benign conflict.",Likely a hijack or misconfiguration.,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Unrecorded Agreement/Misconfiguration)']",no relationship
109.105.193.0/24,N/A,AS1239,['AS197860'],High,"The origin AS (AS1239, Cogent Communications) is a large Tier‑1 provider, while the authorized AS in the ROA (AS197860, Haruka Network Limited) is a smaller ISP that likely purchases upstream service from Cogent. This provider‑customer relationship can cause the customer to announce prefixes that are not covered by the provider's ROA, resulting in an RPKI‑invalid status. The lack of AS path information does not change this assessment, and the business relationship points to a benign conflict rather than a malicious hijack.",Delegated upstream-downstream announcement causing ROA mismatch,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Cooperative Announcement Setup Not Fully Reflected in Public Databases)', 'Hijacks']",strong relationship
109.72.115.0/24,N/A,AS834,['AS400810'],High,"AS834 and the authorized AS400810 appear to have a close operational relationship: they share a maintainer (MAINT-AS834 / netutils-mnt), announce overlapping and delegated prefixes, and are located in the same country (UA), indicating a likely customer‑provider or sibling arrangement rather than a malicious hijack.",Delegated upstream/downstream announcement resulting in multi‑origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
112.199.94.0/24,N/A,AS24081,['AS9658'],High,"Both AS24081 and the authorized AS9658 are registered in the Philippines, and the /24 prefix announced by AS24081 is a more specific subdivision of larger blocks historically originated by AS9658. AS9658 has been the primary origin for the broader prefixes since 2013, while AS24081 began announcing the more specific prefix in 2023, indicating a downstream or customer relationship. This pattern of delegated upstream‑downstream announcements, combined with geographic proximity and business ties, suggests the conflict is benign.","The conflict likely results from a delegated upstream‑downstream announcement where AS24081, a downstream customer of AS9658, announces a more specific prefix not covered by the current ROA.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",strong relationship
115.186.48.0/24,N/A,AS23750,['AS18053'],High,"Both AS23750 and the authorized AS18053 are located in Pakistan and are APNIC‑assigned, indicating a close geographic and administrative proximity; the announcement likely reflects a delegated or upstream‑downstream relationship, possibly backed by a service agreement, and there is no evidence of malicious intent or recent conflict.",Delegated/upstream-downstream announcement due to a service agreement between the ASes.,"['Delegated / Upstream-Downstream Announcements', 'Others (Potential Service Agreement/Partnership between ASes)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",strong relationship
115.186.49.0/24,N/A,AS23750,['AS18053'],Medium,"Both AS23750 (GERRYS INFORMATION TECHNOLOGY PVT LTD.) and AS18053 (Special Communication Organization) are APNIC‑assigned entities operating in Pakistan and the broader APAC region, suggesting geographic proximity and a potential upstream/downstream relationship, but there is no publicly confirmed provider‑customer, sibling, or same‑organization link, leaving the relationship uncertain.",Delegated/upstream-downstream announcement or misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change', 'Hijacks']",same region
115.186.50.0/24,N/A,AS23750,['AS18053'],Medium,"Both AS23750 (GERRYS INFORMATION TECHNOLOGY PVT LTD.) and AS18053 (Special Communication Organization) are APNIC‑assigned and operate in Pakistan, indicating geographic proximity, but no explicit provider‑customer, sibling, or organizational relationship is documented. The more specific prefix announcement could be a delegated upstream‑downstream practice, yet the lack of clear linkage makes the conflict only possibly benign.",Potential delegated upstream‑downstream announcement resulting from geographic proximity.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Hijacks', 'Misconfiguration']",same region
115.186.51.0/24,N/A,AS23750,['AS18053'],Medium,"Both AS23750 and the authorized AS18053 are located in Pakistan, and AS18053 has historically announced the prefix since 2013. The current announcement by AS23750 is likely due to a misconfiguration or a recent operational change, but there is no clear evidence of a direct provider‑customer, sibling, or organizational relationship, leading to a medium confidence in a benign conflict.",Possible delegated/upstream-downstream announcement or recent prefix transfer leading to misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration between related ASes)', 'Prefix Transfer / Ownership Change']",same region
115.186.53.0/24,N/A,AS23750,['AS0'],Low,"The origin AS23750 is a legitimate, active network, while the ROA lists the reserved AS0 as the authorized origin, which is not used for routing. This mismatch indicates a ROA misconfiguration rather than a deliberate hijack, and there is no evidence of any business, organizational, or geographic relationship between AS23750 and AS0.","The ROA is misconfigured, listing the reserved AS0 instead of the actual origin AS23750.","['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Lack of ROA Configuration for the Prefix)', 'Delegated / Upstream-Downstream Announcements (Speculative, based on potential operational practices in the region)', 'Hijacks']",no relationship
115.186.54.0/24,N/A,AS23750,['AS0'],Medium,"AS23750 is a legitimate ISP announcing the prefix, but the ROA lists AS0, a reserved number, indicating a misconfiguration rather than an intentional hijack. There is no direct operational link between AS23750 and AS0, yet both entities are located in Pakistan, suggesting the invalidity may stem from a local administrative oversight rather than malicious activity.",Misconfiguration in the ROA setup for the prefix.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Others (Lack of ROA Configuration for the Prefix)', 'Multi-Origin with Partial ROA Coverage (Inferred due to AS0 in ROA, suggesting incomplete ROA setup)', 'Multi-Origin with Partial ROA Coverage', 'Others']",same region
117.104.224.0/24,N/A,AS131284,['AS55424'],Medium,"Both AS131284 and AS55424 are located in Afghanistan and belong to the APNIC region. The /24 announced by AS131284 is a more specific slice of the /22 covered by the ROA of AS55424, which suggests a delegated or traffic‑engineering arrangement rather than a malicious hijack. No explicit provider‑customer or sibling relationship is documented, but the geographic proximity indicates possible operational coordination, leading to a medium confidence in a benign conflict.",Delegated/upstream-downstream announcement or traffic engineering.,"['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Others (Potential Misconfiguration or Outdated ROA reflecting legitimate operational setup between closely related networks)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",same region
117.104.228.0/24,N/A,AS131284,['AS55424'],Medium,"Both the origin AS (AS131284) and the authorized AS (AS55424) are registered in Afghanistan, indicating a same‑region relationship. While this suggests possible upstream‑downstream or operational coordination, there is no explicit evidence of a provider‑customer, sibling, or same‑organization link, leading to a moderate likelihood of a benign conflict due to misconfiguration.",Delegated or upstream-downstream announcements causing a misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Cooperative Announcement within the same region)', 'Traffic Engineering / Deaggregate Mismatches']",same region
128.254.144.0/24,N/A,AS400384,['AS23470'],High,"Both AS400384 and AS23470 are hosting providers based in the United States, and IRR records suggest an organizational link or partnership between them. The prefix is geolocated in the US and there is no history of ownership transfer, indicating that the RPKI‑invalid announcement is likely due to a customer‑provider or partnership misconfiguration rather than a malicious hijack.",Customer‑provider or partnership misconfiguration,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Partnership/Misconfigured ROA due to Organizational Links)']",strong relationship
131.161.49.0/24,N/A,AS52655,['AS264368'],Low,"The origin AS (AS52655) is a reserved AS with no observed routing activity, while the authorized AS (AS264368) is actively announcing the prefix and is associated with A. L. A. INFORMATICA LTDA. No operational, business, or geographic ties are evident between the two ASes; although both are LACNIC‑assigned and the prefix is located in Brazil, there is no evidence of a customer‑provider, sibling, or organizational relationship. Consequently, the invalid announcement is most plausibly a hijack rather than a benign configuration error.",Hijack (unauthorized announcement).,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential Regional Partnership without Public Disclosure)']",no relationship
131.161.51.0/24,N/A,AS52655,['AS264368'],Medium,"AS52655 is not a valid origin for the prefix; it appears to be a reserved or unused AS with no observed neighbors, while the ROA authorizes AS264368, an active AS that announces the covering /22. Both ASes are allocated by LACNIC, placing them in the same region, but there is no known provider‑customer, sibling, or organizational link. The mismatch likely stems from a configuration error rather than a deliberate hijack.",Misconfiguration where a reserved AS (AS52655) incorrectly announces a prefix owned by AS264368.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Hijacks']",same region
139.28.232.0/24,N/A,AS35913,['AS133619'],Medium,"The announcement is RPKI‑invalid because the origin AS (AS35913) does not match the authorized AS in the ROA (AS133619). Both ASes have announced the prefix and related larger aggregates, and IRR data shows AS35913 announcing a more specific route, indicating a historical prefix transfer or ownership change. While this suggests a possible provider‑customer or peer relationship, there is no concrete evidence of a strong organizational or contractual link, leaving the benign likelihood at a medium level.",Prefix transfer or ownership change leading to multi‑origin announcement with partial ROA coverage.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",weak relationship
141.11.192.0/23,N/A,AS834,['AS212477'],Medium,"There is no direct provider‑customer, sibling, or ownership link between AS834 (IPXO LLC) and the authorized AS212477 (RoyaleHosting BV). However, IRR data shows that the prefix’s route object is maintained by AS834 (mnt‑by MAINT‑AS834) and that AS834 has previously announced the prefix, indicating an administrative or operational connection. No geographic or corporate ties are evident, so the evidence points to a possible benign conflict of medium confidence.",Possible administrative or operational relationship between AS834 and AS212477.,"['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Past Administrative Relationship as per IRR records)']",weak relationship
141.11.242.0/24,N/A,AS834,"['AS199737', 'AS212384']",Medium,"AS834, the announcing AS, shows indirect ties to the authorized ASes AS199737 and AS212384 through overlapping IRR maintainer attributes and maintenance rights on the prefix, suggesting a possible delegated or upstream‑downstream arrangement, but lacking direct evidence of a provider‑customer or organizational link, making the benign nature plausible but not certain.",Delegated/upstream-downstream announcements leading to a multi‑origin situation with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",weak relationship
141.11.249.0/24,N/A,AS834,['AS9087'],High,"AS834 and AS9087 are both registered in the RIPE NCC region and the prefix is geolocated in Amsterdam, NL. IRR records show that AS834 is listed as the maintainer (mnt-by: MAINT-AS834) for the prefix originally associated with AS9087, indicating a direct management or operational relationship. Historical data suggests a recent prefix transfer or ownership change, likely reflecting a provider‑customer or sibling relationship, and the ROA appears misconfigured following this change rather than representing a malicious hijack.",Misconfigured ROA after a recent prefix transfer or provider‑customer relationship.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",strong relationship
142.214.144.0/22,N/A,AS8100,['AS396246'],Medium,"The origin AS8100 and the authorized AS396246 are distinct entities with no documented provider‑customer or sibling relationship. The prefix has recently been transferred to 2pifi, Inc., and both ASes are registered in the United States, indicating a possible regional operational overlap. IRR records show a multi‑origin situation and the ROA covers only AS396246, suggesting the invalid announcement from AS8100 likely stems from an incomplete ROA update after the transfer rather than a malicious hijack.",Prefix transfer or ownership change leading to incomplete ROA configuration.,"['Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",same region
